station,feature,n_eval,mae,rmse
electricity,MT_001,460,0.054653674364089966,0.05835707113146782
electricity,MT_002,469,0.031056605279445648,0.038870420306921005
electricity,MT_003,497,0.05647524818778038,0.06357917189598083
electricity,MT_004,466,0.09268762171268463,0.09807069599628448
electricity,MT_005,477,0.061805613338947296,0.0673290267586708
electricity,MT_006,418,0.03915907070040703,0.04846976697444916
electricity,MT_007,504,0.034746572375297546,0.04018910601735115
electricity,MT_008,438,0.09440698474645615,0.10131768137216568
electricity,MT_009,428,0.1469532549381256,0.14907480776309967
electricity,MT_010,427,0.07553597539663315,0.07967589795589447
electricity,MT_011,465,0.23681050539016724,0.24056586623191833
electricity,MT_012,471,0.04756730794906616,0.05476182699203491
electricity,MT_013,478,0.08278490602970123,0.08678518980741501
electricity,MT_014,497,0.01934104971587658,0.02408503368496895
electricity,MT_015,440,0.017883425578475,0.022186720743775368
electricity,MT_016,502,0.1477402150630951,0.1513126790523529
